		count	min	q5	q25	q50	q75	q95	max
		days_diff	days_diff	days_diff	days_diff	days_diff	days_diff	days_diff	days_diff
lab	week								
Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	2021-20	3	21	21	21	21	21	21	21
Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	2021-21	1	26	26	26	26	26	26	26
Center for Emerging Viral Diseases, Geneva University Hospitals and University of Geneva and Department of Microbiology and Molecular Medicine, Faculty of Medicine, University of Geneva.	2021-43	6	177	178	181	181	181	181	181
Center for Laboratory Medicine St. Gallen	2021-05	1	15	15	15	15	15	15	15
Center for Laboratory Medicine St. Gallen	2021-13	43	93	93	93	93	93	93	93
Center for Laboratory Medicine St. Gallen	2021-15	155	5	7	9	13	34	49	70
Center for Laboratory Medicine St. Gallen	2021-16	46	5	5	7	10	11	11	12
Center for Laboratory Medicine St. Gallen	2021-17	42	5	5	7	9	11	11	11
Center for Laboratory Medicine St. Gallen	2021-18	46	5	5	8	9	10	11	11
Center for Laboratory Medicine St. Gallen	2021-19	46	4	4	6	8	9	10	10
Center for Laboratory Medicine St. Gallen	2021-20	47	4	5	6	8	10	10	10
Center for Laboratory Medicine St. Gallen	2021-22	48	10	10	10	10	12	13	13
Center for Laboratory Medicine St. Gallen	2021-23	95	5	7	9	11	12	13	14
Center for Laboratory Medicine St. Gallen	2021-24	48	4	5	7	9	10	10	10
Center for Laboratory Medicine St. Gallen	2021-25	27	5	5	8	10	10	12	12
Center for Laboratory Medicine St. Gallen	2021-26	12	4	5	7	8	9	9	9
Center for Laboratory Medicine St. Gallen	2021-27	9	5	6	7	7	8	10	11
Center for Laboratory Medicine St. Gallen	2021-28	6	12	12	13	14	14	14	14
Center for Laboratory Medicine St. Gallen	2021-32	44	4	4	6	7	9	10	10
Center for Laboratory Medicine St. Gallen	2021-34	138	4	6	9	11	24	28	28
Center for Laboratory Medicine St. Gallen	2021-35	48	4	4	6	8	10	12	12
Center for Laboratory Medicine St. Gallen	2021-36	48	5	6	8	9	11	11	11
Center for Laboratory Medicine St. Gallen	2021-37	46	4	5	7	8	10	10	10
Center for Laboratory Medicine St. Gallen	2021-38	48	4	4	7	9	10	10	10
Center for Laboratory Medicine St. Gallen	2021-39	48	4	5	7	9	10	10	10
Center for Laboratory Medicine St. Gallen	2021-40	48	4	5	7	9	10	10	10
Center for Laboratory Medicine St. Gallen	2021-41	48	4	4	6	8	10	10	11
Center for Laboratory Medicine St. Gallen	2021-42	48	4	5	6	9	10	10	10
Center for Laboratory Medicine St. Gallen	2021-43	48	4	4	6	8	10	10	11
Center for Laboratory Medicine St. Gallen	2021-44	48	5	5	7	8	10	11	11
Center for Laboratory Medicine, St. Gallen, Switzerland	2021-16	2	24	24	25	26	26	27	27
Department of Biosystems Science and Engineering, ETH Zürich	2020-22	249	48	48	55	60	70	73	74
Department of Biosystems Science and Engineering, ETH Zürich	2020-24	90	30	35	92	93	94	99	100
Department of Biosystems Science and Engineering, ETH Zürich	2020-25	100	43	46	49	50	57	60	60
Department of Biosystems Science and Engineering, ETH Zürich	2020-26	55	28	29	38	55	62	67	69
